timestamp,device_id,metric_id,value,labels
2026-04-29T19:47:09.019938+02:00,taurus-7,wattmetre_power_watt,93.7,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.039854+02:00,taurus-7,wattmetre_power_watt,83.5,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.05984+02:00,taurus-7,wattmetre_power_watt,76.2,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.079814+02:00,taurus-7,wattmetre_power_watt,80.5,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.099968+02:00,taurus-7,wattmetre_power_watt,80.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.119916+02:00,taurus-7,wattmetre_power_watt,86.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.139873+02:00,taurus-7,wattmetre_power_watt,102.1,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.159874+02:00,taurus-7,wattmetre_power_watt,106.1,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.179854+02:00,taurus-7,wattmetre_power_watt,261.3,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.199957+02:00,taurus-7,wattmetre_power_watt,158.1,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.219876+02:00,taurus-7,wattmetre_power_watt,115.3,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.239892+02:00,taurus-7,wattmetre_power_watt,83.6,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.299761+02:00,taurus-7,wattmetre_power_watt,68.5,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.319931+02:00,taurus-7,wattmetre_power_watt,76.3,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.339918+02:00,taurus-7,wattmetre_power_watt,80.6,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.359852+02:00,taurus-7,wattmetre_power_watt,87.6,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.379827+02:00,taurus-7,wattmetre_power_watt,88.8,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.439887+02:00,taurus-7,wattmetre_power_watt,81.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.49979+02:00,taurus-7,wattmetre_power_watt,73.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.520004+02:00,taurus-7,wattmetre_power_watt,82,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.579834+02:00,taurus-7,wattmetre_power_watt,83.4,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.59981+02:00,taurus-7,wattmetre_power_watt,86.5,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.619792+02:00,taurus-7,wattmetre_power_watt,88.7,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.639904+02:00,taurus-7,wattmetre_power_watt,87.5,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.659921+02:00,taurus-7,wattmetre_power_watt,86.2,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.679885+02:00,taurus-7,wattmetre_power_watt,86.4,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.699868+02:00,taurus-7,wattmetre_power_watt,83.6,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.719831+02:00,taurus-7,wattmetre_power_watt,87.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.779879+02:00,taurus-7,wattmetre_power_watt,99.2,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.79986+02:00,taurus-7,wattmetre_power_watt,105.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.819837+02:00,taurus-7,wattmetre_power_watt,95.3,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.839982+02:00,taurus-7,wattmetre_power_watt,86.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.859869+02:00,taurus-7,wattmetre_power_watt,87.2,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.879837+02:00,taurus-7,wattmetre_power_watt,89.7,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.899811+02:00,taurus-7,wattmetre_power_watt,82,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.919779+02:00,taurus-7,wattmetre_power_watt,77.1,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.979905+02:00,taurus-7,wattmetre_power_watt,81.8,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:09.999864+02:00,taurus-7,wattmetre_power_watt,82.4,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.019798+02:00,taurus-7,wattmetre_power_watt,84.6,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.039808+02:00,taurus-7,wattmetre_power_watt,81.1,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.059894+02:00,taurus-7,wattmetre_power_watt,86.9,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.079882+02:00,taurus-7,wattmetre_power_watt,83.7,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.139745+02:00,taurus-7,wattmetre_power_watt,89.8,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.159891+02:00,taurus-7,wattmetre_power_watt,82.2,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.219844+02:00,taurus-7,wattmetre_power_watt,78.5,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.239789+02:00,taurus-7,wattmetre_power_watt,88.4,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.25989+02:00,taurus-7,wattmetre_power_watt,82,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.279887+02:00,taurus-7,wattmetre_power_watt,84.7,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.299877+02:00,taurus-7,wattmetre_power_watt,83.7,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.359798+02:00,taurus-7,wattmetre_power_watt,85.1,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.379893+02:00,taurus-7,wattmetre_power_watt,79.8,"{""_device_orig"": [""wattmetre1-port6""]}"
2026-04-29T19:47:10.399904+02:00,taurus-7,wattmetre_power_watt,80,"{""_device_orig"": [""wattmetre1-port6""]}"
